host_identity_verified,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365
unconfirmed,Brooklyn,Kensington,40.64749,-73.97237,False,strict,Private room,2020,966.0,193.0,10,9,0.21,4.0,6,286
verified,Manhattan,Midtown,40.75362,-73.98377,False,moderate,Entire home/apt,2007,142.0,28.0,30,45,0.38,4.0,2,228
unconfirmed,Brooklyn,Clinton Hill,40.68514,-73.95976,True,moderate,Entire home/apt,2005,368.0,74.0,30,270,4.64,4.0,1,322
verified,Manhattan,East Harlem,40.79851,-73.94399,False,moderate,Entire home/apt,2009,204.0,41.0,10,9,0.1,3.0,1,289
verified,Manhattan,Murray Hill,40.74767,-73.975,True,flexible,Entire home/apt,2013,577.0,115.0,3,74,0.59,3.0,1,374
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2009,1060.0,212.0,45,49,0.4,5.0,1,219
verified,Manhattan,Hell's Kitchen,40.76489,-73.98493,True,strict,Private room,2005,1018.0,204.0,2,430,3.47,3.0,1,180
unconfirmed,Manhattan,Upper West Side,40.80178,-73.96723,False,strict,Private room,2015,291.0,58.0,2,118,0.99,5.0,1,375
verified,Manhattan,Chinatown,40.71344,-73.99037,False,flexible,Entire home/apt,2004,319.0,64.0,1,160,1.33,3.0,4,1
verified,Manhattan,Upper West Side,40.80316,-73.96545,True,flexible,Entire home/apt,2008,606.0,121.0,5,53,0.43,4.0,1,163
verified,Manhattan,Hell's Kitchen,40.76076,-73.98867,False,strict,Private room,2008,714.0,143.0,2,188,1.5,4.0,1,258
verified,brookln,South Slope,40.66829,-73.98779,True,moderate,Private room,2010,580.0,116.0,4,167,1.34,4.0,3,47
verified,Manhattan,Upper West Side,40.79826,-73.96113,False,flexible,Private room,2019,149.0,30.0,2,113,0.91,3.0,1,68
verified,Brooklyn,Bushwick,40.70186,-73.92745,True,moderate,Entire home/apt,2005,1097.0,219.0,2,231,1.96,3.0,2,214
verified,Brooklyn,Flatbush,40.63702,-73.96327,True,strict,Private room,2011,1020.0,204.0,1,0,0.74,3.0,1,356
